Order_ID,Order_Datetime,Branch,Customer_ID,Item_Name,Order_Type,Quantity,Unit_Price,Total_Amount
ORD03391,2025-11-01 13:04:00,Chi nhánh Quận 1,1868,Nước ép dưa hấu,GrabFood,4,45000,180000
ORD08016,2025-11-01 13:10:00,Chi nhánh Quận 7,2066,Bạc xỉu,Dùng tại quán,2,25000,50000
ORD04601,2025-11-01 13:23:00,Chi nhánh Gò Vấp,1432,Trà đào cam sả,ShopeeFood,2,35000,70000
ORD08908,2025-11-01 13:28:00,Chi nhánh Quận 1,1087,Nước ép dưa hấu,ShopeeFood,3,45000,135000
ORD01878,2025-11-01 13:34:00,Chi nhánh Gò Vấp,1581,Trà sữa trân châu,Mang đi,3,40000,120000
ORD01166,2025-11-01 13:47:00,Chi nhánh Quận 7,2096,Bạc xỉu,Mang đi,4,25000,100000
ORD02909,2025-11-01 14:05:00,Chi nhánh Quận 7,2606,Bánh mì chả lụa,GrabFood,1,20000,20000
ORD05145,2025-11-01 14:33:00,Chi nhánh Tân Bình,2336,Trà đào cam sả,GrabFood,3,35000,105000
ORD09227,2025-11-01 14:39:00,Chi nhánh Quận 7,2758,Bạc xỉu,ShopeeFood,4,25000,100000
ORD06954,2025-11-01 15:14:00,Chi nhánh Quận 1,1673,Bánh mì chả lụa,Dùng tại quán,4,20000,80000
ORD01135,2025-11-01 15:51:00,Chi nhánh Gò Vấp,2797,Trà đào cam sả,Dùng tại quán,3,35000,105000
ORD02514,2025-11-01 16:52:00,Chi nhánh Quận 1,1424,Nước ép dưa hấu,ShopeeFood,3,45000,135000
ORD04115,2025-11-01 16:53:00,Chi nhánh Quận 7,1933,Cà phê sữa đá,Mang đi,1,25000,25000
ORD03762,2025-11-01 17:03:00,Chi nhánh Quận 1,1944,Nước ép dưa hấu,ShopeeFood,1,45000,45000
ORD03746,2025-11-01 17:12:00,Chi nhánh Quận 1,2149,Bạc xỉu,Dùng tại quán,4,25000,100000
ORD04813,2025-11-01 17:20:00,Chi nhánh Gò Vấp,2978,Bánh mì chả lụa,Dùng tại quán,2,20000,40000
ORD08099,2025-11-01 17:23:00,Chi nhánh Quận 7,2049,Trà đào cam sả,Mang đi,3,35000,105000
ORD04723,2025-11-01 17:29:00,Chi nhánh Quận 1,2676,Trà đào cam sả,ShopeeFood,1,35000,35000
ORD08567,2025-11-01 18:27:00,Chi nhánh Gò Vấp,1574,Trà sữa trân châu,GrabFood,2,40000,80000
ORD05617,2025-11-01 18:34:00,Chi nhánh Quận 1,1758,Bánh mì chả lụa,Mang đi,2,20000,40000
ORD06756,2025-11-01 19:01:00,Chi nhánh Tân Bình,1694,Trà sữa trân châu,Mang đi,1,40000,40000
ORD00303,2025-11-01 19:02:00,Chi nhánh Tân Bình,2176,Trà sữa trân châu,Dùng tại quán,1,40000,40000
ORD00657,2025-11-01 19:57:00,Chi nhánh Tân Bình,2032,Trà sữa trân châu,Dùng tại quán,2,40000,80000
ORD04284,2025-11-01 19:57:00,Chi nhánh Gò Vấp,2237,Trà sữa trân châu,GrabFood,4,40000,160000
ORD01566,2025-11-01 20:20:00,Chi nhánh Quận 7,1364,Bạc xỉu,ShopeeFood,3,25000,75000
ORD07633,2025-11-01 20:29:00,Chi nhánh Tân Bình,1136,Nước ép dưa hấu,ShopeeFood,3,45000,135000
ORD00646,2025-11-01 20:41:00,Chi nhánh Quận 7,1741,Bạc xỉu,GrabFood,3,25000,75000
ORD08848,2025-11-01 21:07:00,Chi nhánh Quận 7,1257,Cà phê sữa đá,Dùng tại quán,4,25000,100000
ORD03167,2025-11-01 21:24:00,Chi nhánh Tân Bình,1787,Bánh mì chả lụa,Dùng tại quán,1,20000,20000
ORD06172,2025-11-01 21:25:00,Chi nhánh Gò Vấp,2912,Bánh mì chả lụa,ShopeeFood,3,20000,60000
ORD04794,2025-11-01 21:26:00,Chi nhánh Gò Vấp,2045,Bánh mì chả lụa,GrabFood,2,20000,40000
ORD08106,2025-11-01 21:43:00,Chi nhánh Gò Vấp,1848,Bạc xỉu,Mang đi,1,25000,25000
ORD06737,2025-11-01 22:27:00,Chi nhánh Gò Vấp,1202,Trà sữa trân châu,ShopeeFood,3,40000,120000
ORD07864,2025-11-01 22:27:00,Chi nhánh Quận 1,2040,Nước ép dưa hấu,GrabFood,1,45000,45000
ORD00028,2025-11-01 22:47:00,Chi nhánh Gò Vấp,2769,Cà phê sữa đá,GrabFood,3,25000,75000
ORD01910,2025-11-01 22:52:00,Chi nhánh Gò Vấp,1787,Cà phê sữa đá,Dùng tại quán,4,25000,100000
ORD00990,2025-11-01 22:55:00,Chi nhánh Quận 7,1291,Bánh mì chả lụa,Mang đi,2,20000,40000
ORD07818,2025-11-02 07:08:00,Chi nhánh Quận 7,2086,Bánh mì chả lụa,Mang đi,3,20000,60000
ORD02453,2025-11-02 08:26:00,Chi nhánh Quận 1,1978,Cà phê sữa đá,Mang đi,1,25000,25000
ORD03207,2025-11-02 10:05:00,Chi nhánh Tân Bình,1102,Nước ép dưa hấu,Mang đi,4,45000,180000
ORD04783,2025-11-02 10:06:00,Chi nhánh Gò Vấp,1307,Trà đào cam sả,ShopeeFood,4,35000,140000
ORD08762,2025-11-02 10:10:00,Chi nhánh Tân Bình,1386,Nước ép dưa hấu,ShopeeFood,4,45000,180000
ORD02842,2025-11-02 10:29:00,Chi nhánh Quận 1,2136,Nước ép dưa hấu,GrabFood,1,45000,45000
ORD05857,2025-11-02 10:37:00,Chi nhánh Tân Bình,2846,Bạc xỉu,Mang đi,4,25000,100000
ORD01401,2025-11-02 10:52:00,Chi nhánh Quận 7,1574,Trà đào cam sả,GrabFood,4,35000,140000
ORD08909,2025-11-02 11:18:00,Chi nhánh Quận 1,2145,Trà sữa trân châu,GrabFood,3,40000,120000
ORD06102,2025-11-02 11:35:00,Chi nhánh Quận 7,2138,Trà sữa trân châu,GrabFood,3,40000,120000
ORD06547,2025-11-02 12:28:00,Chi nhánh Gò Vấp,2009,Trà sữa trân châu,Dùng tại quán,4,40000,160000
ORD07981,2025-11-02 12:31:00,Chi nhánh Quận 1,2322,Cà phê sữa đá,Mang đi,1,25000,25000
ORD08704,2025-11-02 12:36:00,Chi nhánh Quận 1,2402,Trà đào cam sả,ShopeeFood,3,35000,105000
ORD04431,2025-11-02 13:39:00,Chi nhánh Tân Bình,1335,Bạc xỉu,Mang đi,4,25000,100000
ORD01214,2025-11-02 14:16:00,Chi nhánh Gò Vấp,1607,Nước ép dưa hấu,ShopeeFood,1,45000,45000
ORD00622,2025-11-02 14:19:00,Chi nhánh Gò Vấp,2485,Bánh mì chả lụa,ShopeeFood,3,20000,60000
ORD06470,2025-11-02 14:25:00,Chi nhánh Gò Vấp,1454,Trà đào cam sả,GrabFood,4,35000,140000
ORD04926,2025-11-02 14:29:00,Chi nhánh Gò Vấp,1309,Trà sữa trân châu,Mang đi,4,40000,160000
ORD06426,2025-11-02 15:12:00,Chi nhánh Tân Bình,1300,Cà phê sữa đá,GrabFood,1,25000,25000
ORD05294,2025-11-02 15:17:00,Chi nhánh Gò Vấp,2369,Bạc xỉu,Mang đi,4,25000,100000
ORD09667,2025-11-02 15:23:00,Chi nhánh Quận 1,1275,Bánh mì chả lụa,Dùng tại quán,2,20000,40000
ORD03914,2025-11-02 15:33:00,Chi nhánh Quận 1,1344,Trà đào cam sả,GrabFood,4,35000,140000
ORD02031,2025-11-02 15:45:00,Chi nhánh Quận 1,1785,Bạc xỉu,Mang đi,2,25000,50000
ORD05568,2025-11-02 15:51:00,Chi nhánh Tân Bình,2776,Nước ép dưa hấu,GrabFood,1,45000,45000
ORD07850,2025-11-02 16:07:00,Chi nhánh Gò Vấp,2109,Trà đào cam sả,Dùng tại quán,2,35000,70000
ORD01016,2025-11-02 16:12:00,Chi nhánh Gò Vấp,2168,Nước ép dưa hấu,Dùng tại quán,2,45000,90000
ORD09310,2025-11-02 16:28:00,Chi nhánh Gò Vấp,1427,Bánh mì chả lụa,ShopeeFood,4,20000,80000
ORD06468,2025-11-02 16:30:00,Chi nhánh Gò Vấp,1455,Nước ép dưa hấu,Dùng tại quán,2,45000,90000
ORD02760,2025-11-02 16:41:00,Chi nhánh Gò Vấp,1110,Nước ép dưa hấu,Mang đi,2,45000,90000
ORD07823,2025-11-02 17:00:00,Chi nhánh Quận 1,2672,Cà phê sữa đá,Dùng tại quán,2,25000,50000
ORD04209,2025-11-02 17:59:00,Chi nhánh Gò Vấp,2466,Nước ép dưa hấu,ShopeeFood,2,45000,90000
ORD05770,2025-11-02 18:00:00,Chi nhánh Tân Bình,1130,Nước ép dưa hấu,Mang đi,3,45000,135000
ORD00967,2025-11-02 18:11:00,Chi nhánh Quận 7,2091,Nước ép dưa hấu,Mang đi,3,45000,135000
ORD04012,2025-11-02 18:38:00,Chi nhánh Quận 1,2656,Cà phê sữa đá,GrabFood,4,25000,100000
ORD01870,2025-11-02 19:36:00,Chi nhánh Gò Vấp,2206,Bánh mì chả lụa,ShopeeFood,2,20000,40000
ORD03203,2025-11-02 19:40:00,Chi nhánh Tân Bình,2090,Trà sữa trân châu,GrabFood,4,40000,160000
ORD04505,2025-11-02 20:26:00,Chi nhánh Tân Bình,2118,Cà phê sữa đá,ShopeeFood,4,25000,100000
ORD04417,2025-11-02 20:32:00,Chi nhánh Gò Vấp,1896,Nước ép dưa hấu,GrabFood,3,45000,135000
ORD05849,2025-11-02 20:40:00,Chi nhánh Tân Bình,2790,Bạc xỉu,Dùng tại quán,3,25000,75000
ORD02518,2025-11-02 21:33:00,Chi nhánh Quận 1,2488,Nước ép dưa hấu,Dùng tại quán,2,45000,90000
ORD00210,2025-11-02 21:34:00,Chi nhánh Quận 7,1640,Trà đào cam sả,Dùng tại quán,3,35000,105000
ORD04812,2025-11-02 21:55:00,Chi nhánh Tân Bình,1569,Bánh mì chả lụa,Mang đi,2,20000,40000
ORD07196,2025-11-02 21:57:00,Chi nhánh Gò Vấp,1506,Nước ép dưa hấu,Mang đi,2,45000,90000
ORD02443,2025-11-02 22:41:00,Chi nhánh Quận 1,2407,Bánh mì chả lụa,Dùng tại quán,1,20000,20000
ORD08259,2025-11-02 22:42:00,Chi nhánh Gò Vấp,2706,Cà phê sữa đá,GrabFood,1,25000,25000
ORD03488,2025-11-02 22:43:00,Chi nhánh Gò Vấp,2052,Bạc xỉu,ShopeeFood,2,25000,50000
ORD06256,2025-11-02 22:56:00,Chi nhánh Quận 1,1245,Cà phê sữa đá,GrabFood,1,25000,25000
ORD02060,2025-11-02 22:58:00,Chi nhánh Gò Vấp,2218,Trà sữa trân châu,Mang đi,3,40000,120000
ORD06087,2025-11-03 07:04:00,Chi nhánh Tân Bình,2516,Trà đào cam sả,ShopeeFood,3,35000,105000
ORD00534,2025-11-03 07:32:00,Chi nhánh Quận 1,2048,Bạc xỉu,GrabFood,3,25000,75000
ORD05714,2025-11-03 07:33:00,Chi nhánh Gò Vấp,2846,Bạc xỉu,GrabFood,1,25000,25000
ORD07293,2025-11-03 07:47:00,Chi nhánh Gò Vấp,2533,Bạc xỉu,GrabFood,2,25000,50000
ORD09863,2025-11-03 07:54:00,Chi nhánh Gò Vấp,1404,Bạc xỉu,Mang đi,1,25000,25000
ORD04008,2025-11-03 08:26:00,Chi nhánh Quận 1,2139,Cà phê sữa đá,ShopeeFood,4,25000,100000
ORD03660,2025-11-03 08:28:00,Chi nhánh Quận 1,1452,Trà sữa trân châu,Dùng tại quán,1,40000,40000
ORD00033,2025-11-03 08:34:00,Chi nhánh Gò Vấp,2243,Bánh mì chả lụa,Mang đi,1,20000,20000
ORD08376,2025-11-03 08:51:00,Chi nhánh Gò Vấp,1559,Trà đào cam sả,Dùng tại quán,2,35000,70000
ORD07522,2025-11-03 08:53:00,Chi nhánh Quận 1,1227,Trà sữa trân châu,GrabFood,4,40000,160000
ORD06147,2025-11-03 08:59:00,Chi nhánh Quận 1,1424,Bạc xỉu,Mang đi,4,25000,100000
ORD03120,2025-11-03 09:34:00,Chi nhánh Quận 7,2250,Nước ép dưa hấu,Dùng tại quán,1,45000,45000
ORD03022,2025-11-03 09:48:00,Chi nhánh Quận 7,1653,Cà phê sữa đá,Mang đi,1,25000,25000
ORD05752,2025-11-03 10:02:00,Chi nhánh Quận 1,1502,Cà phê sữa đá,ShopeeFood,1,25000,25000
ORD09760,2025-11-03 10:09:00,Chi nhánh Tân Bình,2399,Bạc xỉu,Mang đi,4,25000,100000
ORD01586,2025-11-03 10:09:00,Chi nhánh Tân Bình,1928,Trà sữa trân châu,GrabFood,3,40000,120000
ORD05244,2025-11-03 10:58:00,Chi nhánh Quận 1,2659,Bạc xỉu,Mang đi,1,25000,25000
ORD01769,2025-11-03 10:59:00,Chi nhánh Quận 1,1210,Trà sữa trân châu,ShopeeFood,4,40000,160000
ORD02340,2025-11-03 11:12:00,Chi nhánh Gò Vấp,2987,Nước ép dưa hấu,ShopeeFood,3,45000,135000
ORD04513,2025-11-03 11:16:00,Chi nhánh Quận 1,2744,Trà sữa trân châu,Mang đi,2,40000,80000
ORD07943,2025-11-03 11:40:00,Chi nhánh Tân Bình,1532,Bánh mì chả lụa,Dùng tại quán,4,20000,80000
ORD07870,2025-11-03 11:49:00,Chi nhánh Tân Bình,1918,Bánh mì chả lụa,GrabFood,2,20000,40000
ORD08092,2025-11-03 11:50:00,Chi nhánh Gò Vấp,2809,Cà phê sữa đá,Mang đi,4,25000,100000
ORD09541,2025-11-03 12:18:00,Chi nhánh Quận 7,2672,Bánh mì chả lụa,Dùng tại quán,3,20000,60000
ORD07687,2025-11-03 12:18:00,Chi nhánh Quận 1,1287,Bánh mì chả lụa,Mang đi,2,20000,40000
ORD02825,2025-11-03 12:23:00,Chi nhánh Quận 7,1984,Bạc xỉu,ShopeeFood,4,25000,100000
ORD05855,2025-11-03 12:42:00,Chi nhánh Gò Vấp,1986,Trà đào cam sả,GrabFood,2,35000,70000
ORD06467,2025-11-03 12:45:00,Chi nhánh Tân Bình,1998,Trà sữa trân châu,GrabFood,1,40000,40000
ORD08563,2025-11-03 12:50:00,Chi nhánh Quận 1,1552,Trà sữa trân châu,ShopeeFood,4,40000,160000
ORD09904,2025-11-03 12:52:00,Chi nhánh Quận 1,2193,Bạc xỉu,Dùng tại quán,1,25000,25000
ORD05314,2025-11-03 13:19:00,Chi nhánh Gò Vấp,2495,Cà phê sữa đá,ShopeeFood,3,25000,75000
ORD08272,2025-11-03 13:40:00,Chi nhánh Tân Bình,2386,Bánh mì chả lụa,GrabFood,1,20000,20000
ORD03327,2025-11-03 13:58:00,Chi nhánh Gò Vấp,2351,Bạc xỉu,GrabFood,3,25000,75000
ORD02192,2025-11-03 14:43:00,Chi nhánh Quận 1,2169,Nước ép dưa hấu,GrabFood,2,45000,90000
ORD07582,2025-11-03 14:47:00,Chi nhánh Quận 1,1899,Bạc xỉu,ShopeeFood,2,25000,50000
ORD06959,2025-11-03 14:58:00,Chi nhánh Quận 1,1405,Bạc xỉu,Dùng tại quán,4,25000,100000
ORD01492,2025-11-03 15:19:00,Chi nhánh Quận 1,2585,Cà phê sữa đá,Mang đi,2,25000,50000
ORD00436,2025-11-03 15:46:00,Chi nhánh Quận 1,2848,Bánh mì chả lụa,Mang đi,3,20000,60000
ORD09665,2025-11-03 16:48:00,Chi nhánh Quận 1,1886,Trà đào cam sả,ShopeeFood,4,35000,140000
ORD09896,2025-11-03 16:52:00,Chi nhánh Tân Bình,1715,Trà đào cam sả,Dùng tại quán,4,35000,140000
ORD07467,2025-11-03 17:03:00,Chi nhánh Gò Vấp,2632,Bánh mì chả lụa,Dùng tại quán,4,20000,80000
ORD02301,2025-11-03 17:10:00,Chi nhánh Quận 1,1287,Trà sữa trân châu,ShopeeFood,2,40000,80000
ORD01705,2025-11-03 17:44:00,Chi nhánh Quận 1,2214,Bánh mì chả lụa,Mang đi,2,20000,40000
ORD03192,2025-11-03 17:55:00,Chi nhánh Quận 1,2590,Bánh mì chả lụa,GrabFood,3,20000,60000
ORD08535,2025-11-03 18:21:00,Chi nhánh Gò Vấp,2688,Cà phê sữa đá,ShopeeFood,3,25000,75000
ORD03894,2025-11-03 18:29:00,Chi nhánh Quận 7,1402,Nước ép dưa hấu,GrabFood,3,45000,135000
ORD01351,2025-11-03 18:29:00,Chi nhánh Quận 7,2850,Bạc xỉu,GrabFood,3,25000,75000
ORD06413,2025-11-03 18:42:00,Chi nhánh Gò Vấp,2617,Bạc xỉu,ShopeeFood,3,25000,75000
ORD01874,2025-11-03 18:46:00,Chi nhánh Quận 1,2026,Cà phê sữa đá,GrabFood,1,25000,25000
ORD05100,2025-11-03 19:39:00,Chi nhánh Tân Bình,2572,Trà sữa trân châu,Dùng tại quán,2,40000,80000
ORD08763,2025-11-03 20:16:00,Chi nhánh Gò Vấp,1794,Bạc xỉu,GrabFood,4,25000,100000
ORD00481,2025-11-03 20:20:00,Chi nhánh Gò Vấp,2837,Trà đào cam sả,ShopeeFood,4,35000,140000
ORD06139,2025-11-03 20:20:00,Chi nhánh Tân Bình,2046,Trà đào cam sả,Mang đi,2,35000,70000
ORD06803,2025-11-03 20:41:00,Chi nhánh Quận 7,1335,Cà phê sữa đá,Mang đi,4,25000,100000
ORD09799,2025-11-03 20:47:00,Chi nhánh Quận 1,2829,Bạc xỉu,GrabFood,1,25000,25000
ORD00811,2025-11-03 20:55:00,Chi nhánh Quận 1,1851,Nước ép dưa hấu,ShopeeFood,2,45000,90000
ORD08251,2025-11-03 21:07:00,Chi nhánh Tân Bình,1578,Bạc xỉu,Mang đi,4,25000,100000
ORD07951,2025-11-03 21:36:00,Chi nhánh Quận 1,2442,Nước ép dưa hấu,Dùng tại quán,2,45000,90000
ORD08244,2025-11-03 21:38:00,Chi nhánh Quận 7,2121,Trà sữa trân châu,Dùng tại quán,2,40000,80000
ORD02877,2025-11-03 21:38:00,Chi nhánh Gò Vấp,2938,Nước ép dưa hấu,Mang đi,1,45000,45000
ORD00595,2025-11-03 22:01:00,Chi nhánh Tân Bình,1461,Bánh mì chả lụa,ShopeeFood,4,20000,80000
ORD05647,2025-11-03 22:05:00,Chi nhánh Quận 1,2799,Cà phê sữa đá,ShopeeFood,1,25000,25000
ORD08258,2025-11-03 22:25:00,Chi nhánh Gò Vấp,2221,Trà đào cam sả,GrabFood,4,35000,140000
ORD00566,2025-11-03 22:27:00,Chi nhánh Gò Vấp,1531,Trà sữa trân châu,GrabFood,1,40000,40000
ORD01323,2025-11-03 22:31:00,Chi nhánh Tân Bình,1862,Cà phê sữa đá,GrabFood,4,25000,100000
ORD05532,2025-11-03 22:42:00,Chi nhánh Gò Vấp,1954,Nước ép dưa hấu,Dùng tại quán,2,45000,90000
ORD03407,2025-11-04 07:17:00,Chi nhánh Tân Bình,1161,Bạc xỉu,ShopeeFood,3,25000,75000
ORD05377,2025-11-04 07:46:00,Chi nhánh Quận 7,2674,Bánh mì chả lụa,Dùng tại quán,4,20000,80000
ORD09296,2025-11-04 07:48:00,Chi nhánh Quận 1,2781,Trà đào cam sả,Mang đi,4,35000,140000
ORD00312,2025-11-04 08:26:00,Chi nhánh Quận 1,1935,Bạc xỉu,Dùng tại quán,1,25000,25000
ORD09649,2025-11-04 08:41:00,Chi nhánh Quận 1,2935,Trà sữa trân châu,GrabFood,1,40000,40000
ORD05948,2025-11-04 09:01:00,Chi nhánh Quận 1,2274,Bạc xỉu,ShopeeFood,2,25000,50000
ORD00116,2025-11-04 09:12:00,Chi nhánh Quận 7,1322,Trà đào cam sả,Mang đi,4,35000,140000
ORD06017,2025-11-04 09:23:00,Chi nhánh Tân Bình,2234,Bạc xỉu,ShopeeFood,1,25000,25000
ORD02370,2025-11-04 09:52:00,Chi nhánh Quận 7,1418,Trà đào cam sả,Dùng tại quán,2,35000,70000
ORD06371,2025-11-04 10:17:00,Chi nhánh Tân Bình,1932,Nước ép dưa hấu,Dùng tại quán,1,45000,45000
ORD08505,2025-11-04 10:50:00,Chi nhánh Tân Bình,1119,Cà phê sữa đá,ShopeeFood,4,25000,100000
ORD09069,2025-11-04 11:43:00,Chi nhánh Quận 1,1618,Bánh mì chả lụa,Mang đi,4,20000,80000
ORD05523,2025-11-04 12:39:00,Chi nhánh Tân Bình,1361,Trà đào cam sả,ShopeeFood,3,35000,105000
ORD09912,2025-11-04 13:02:00,Chi nhánh Quận 1,1905,Cà phê sữa đá,Mang đi,3,25000,75000
ORD01354,2025-11-04 13:20:00,Chi nhánh Tân Bình,1870,Bạc xỉu,Dùng tại quán,2,25000,50000
ORD07593,2025-11-04 13:22:00,Chi nhánh Gò Vấp,1766,Bánh mì chả lụa,Dùng tại quán,3,20000,60000
ORD04649,2025-11-04 13:28:00,Chi nhánh Gò Vấp,1382,Bánh mì chả lụa,ShopeeFood,4,20000,80000
ORD04569,2025-11-04 13:51:00,Chi nhánh Quận 1,1898,Bánh mì chả lụa,GrabFood,4,20000,80000
ORD01886,2025-11-04 14:03:00,Chi nhánh Gò Vấp,2290,Bánh mì chả lụa,Mang đi,3,20000,60000
ORD02363,2025-11-04 14:13:00,Chi nhánh Tân Bình,1301,Trà sữa trân châu,Mang đi,1,40000,40000
ORD07585,2025-11-04 14:22:00,Chi nhánh Tân Bình,2163,Cà phê sữa đá,ShopeeFood,2,25000,50000
ORD04114,2025-11-04 14:28:00,Chi nhánh Gò Vấp,1147,Bánh mì chả lụa,Mang đi,4,20000,80000
ORD04568,2025-11-04 14:29:00,Chi nhánh Gò Vấp,1063,Trà sữa trân châu,Dùng tại quán,4,40000,160000
ORD05640,2025-11-04 14:37:00,Chi nhánh Tân Bình,1638,Bạc xỉu,GrabFood,2,25000,50000
ORD05148,2025-11-04 15:03:00,Chi nhánh Quận 1,1170,Nước ép dưa hấu,Mang đi,4,45000,180000
ORD06055,2025-11-04 15:06:00,Chi nhánh Quận 1,2863,Trà đào cam sả,Mang đi,3,35000,105000
ORD00875,2025-11-04 15:36:00,Chi nhánh Quận 1,1437,Bạc xỉu,GrabFood,3,25000,75000
ORD00787,2025-11-04 16:05:00,Chi nhánh Quận 7,1105,Cà phê sữa đá,Mang đi,3,25000,75000
ORD06871,2025-11-04 16:11:00,Chi nhánh Gò Vấp,2359,Trà sữa trân châu,Mang đi,4,40000,160000
ORD07592,2025-11-04 17:05:00,Chi nhánh Quận 7,1109,Bạc xỉu,Dùng tại quán,1,25000,25000
ORD01352,2025-11-04 17:20:00,Chi nhánh Quận 7,2020,Trà sữa trân châu,Mang đi,3,40000,120000
ORD01513,2025-11-04 17:50:00,Chi nhánh Tân Bình,1328,Cà phê sữa đá,Dùng tại quán,1,25000,25000
ORD01914,2025-11-04 18:06:00,Chi nhánh Tân Bình,2326,Trà đào cam sả,Dùng tại quán,3,35000,105000
ORD01975,2025-11-04 18:22:00,Chi nhánh Quận 7,1146,Nước ép dưa hấu,Mang đi,2,45000,90000
ORD08767,2025-11-04 18:23:00,Chi nhánh Tân Bình,2431,Trà đào cam sả,Dùng tại quán,2,35000,70000
ORD03086,2025-11-04 19:00:00,Chi nhánh Quận 1,1929,Bạc xỉu,GrabFood,4,25000,100000
ORD01236,2025-11-04 19:08:00,Chi nhánh Quận 1,1459,Cà phê sữa đá,ShopeeFood,1,25000,25000
ORD03689,2025-11-04 19:10:00,Chi nhánh Tân Bình,1774,Trà đào cam sả,Dùng tại quán,4,35000,140000
ORD09832,2025-11-04 19:16:00,Chi nhánh Quận 7,2876,Cà phê sữa đá,ShopeeFood,3,25000,75000
ORD01934,2025-11-04 19:33:00,Chi nhánh Quận 1,1269,Bánh mì chả lụa,GrabFood,1,20000,20000
ORD00356,2025-11-04 19:46:00,Chi nhánh Quận 1,2788,Nước ép dưa hấu,Mang đi,4,45000,180000
ORD00911,2025-11-04 20:21:00,Chi nhánh Tân Bình,2434,Bạc xỉu,Mang đi,2,25000,50000
ORD00217,2025-11-04 20:30:00,Chi nhánh Quận 1,2285,Cà phê sữa đá,ShopeeFood,1,25000,25000
ORD00856,2025-11-04 20:38:00,Chi nhánh Gò Vấp,1220,Trà đào cam sả,ShopeeFood,3,35000,105000
ORD06473,2025-11-04 20:47:00,Chi nhánh Quận 7,2198,Bạc xỉu,Dùng tại quán,4,25000,100000
ORD07049,2025-11-04 20:50:00,Chi nhánh Quận 1,1439,Nước ép dưa hấu,Mang đi,3,45000,135000
ORD02632,2025-11-04 20:52:00,Chi nhánh Gò Vấp,2465,Trà đào cam sả,Dùng tại quán,2,35000,70000
ORD03602,2025-11-04 21:05:00,Chi nhánh Quận 1,1553,Trà sữa trân châu,GrabFood,3,40000,120000
